year,year_end,country,score,rank,party
2006,2008,INDIA,"7,68",35,Congress
2008,2010,INDIA,"7,80",35,Congress
2010,2011,INDIA,"7,28",40,Congress
2011,2012,INDIA,"7,30",39,Congress
2012,2013,INDIA,"7,52",38,Congress
2013,2014,INDIA,"7,69",33,Congress
2014,2015,INDIA,"7,92",27,BJP
2015,2016,INDIA,"7,74",35,BJP
2016,2017,INDIA,"7,81",32,BJP
2017,2018,INDIA,"7,23",42,BJP
2018,2019,INDIA,"7,23",41,BJP
2019,2020,INDIA,"6,90",51,BJP
2020,2021,INDIA,"6,61",53,BJP
2021,2021,INDIA,"6,91",46,BJP
