Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,19,4.98,3.82,4.35,-12.58,31.98,9.42,24.02,60.39,37.21
Australia,4.7,0.96,4.9,1.08,12.21,-3.52,-20.01,-9.34,17.25,0.3
Brazil,11.25,1.99,5.64,2.58,29.22,90.34,57.81,78.86,131.32,97.89
Britain,2.69,0.63,4.25,0.62,-2.73,6.42,-11.77,0,29.33,10.64
Canada,5.41,1,5.39,1.24,23.51,21.14,0.43,13.83,47.22,25.95
Chile,2050,471.75,4.35,469.39,-0.5,43.47,18.95,34.82,74.36,49.16
China,16,6.22,2.57,3.66,-41.1,-3.81,-20.26,-9.62,16.89,0
Colombia,8600,1773.18,4.85,1969.14,11.05,76.93,46.69,66.26,115.02,83.95
Costa Rica,2200,500.83,4.39,503.73,0.58,,,,,
Czech Republic,70.33,18.89,3.72,16.1,-14.77,13.94,-5.54,7.06,38.46,18.46
Denmark,28.5,5.5,5.18,6.53,18.69,7.63,-10.77,1.13,30.79,11.89
Egypt,16,6.69,2.39,3.66,-45.2,-7.1,-22.98,-12.71,12.89,-3.42
Euro area,3.59,0.74,4.88,0.82,11.69,20.62,0,13.34,46.58,25.4
Hong Kong,17,7.76,2.19,3.89,-49.83,-42.53,-52.35,-46,-30.16,-40.25
Hungary,830,217.47,3.82,190.04,-12.61,26.59,4.95,18.96,53.85,31.61
India,89,53.4,1.67,20.38,-61.83,-33.86,-45.17,-37.85,-19.62,-31.24
Indonesia,27939,9767.5,2.86,6397.18,-34.51,10.06,-8.76,3.42,33.75,14.42
Israel,14.9,3.72,4,3.41,-8.4,7.05,-11.25,0.59,30.1,11.3
Japan,320,91.07,3.51,73.27,-19.54,-17.71,-31.78,-22.68,0,-14.45
Latvia,1.69,0.52,3.28,0.39,-24.9,,,,,
Lithuania,7.8,2.54,3.07,1.79,-29.81,,,,,
Malaysia,7.95,3.08,2.58,1.82,-40.96,-9.79,-25.21,-15.23,9.63,-6.21
Mexico,37,12.74,2.9,8.47,-33.49,1.53,-15.82,-4.59,23.39,5.56
New Zealand,5.2,1.2,4.32,1.19,-0.98,11.46,-7.59,4.74,35.45,15.88
Norway,43,5.48,7.84,9.85,79.56,24.25,3.01,16.75,50.99,29.17
Pakistan,290,97.67,2.97,66.4,-32.01,18.41,-1.83,11.26,43.89,23.1
Peru,10,2.56,3.91,2.29,-10.54,45.06,20.26,36.31,76.28,50.81
Philippines,118,40.6,2.91,27.02,-33.45,13.84,-5.62,6.98,38.35,18.36
Poland,9.1,3.09,2.94,2.08,-32.61,-1.63,-18.45,-7.57,19.54,2.27
Russia,72.88,30.05,2.43,16.69,-44.46,-18.41,-32.36,-23.34,-0.85,-15.18
Saudi Arabia,11,3.75,2.93,2.52,-32.84,-11.03,-26.24,-16.4,8.12,-7.5
Singapore,4.5,1.23,3.64,1.03,-16.56,-17.26,-31.41,-22.26,0.55,-13.98
South Africa,18.33,9.05,2.03,4.2,-53.61,-27.1,-39.56,-31.5,-11.41,-24.21
South Korea,3700,1085.48,3.41,847.19,-21.95,1.89,-15.52,-4.25,23.83,5.94
Sri Lanka,350,126.45,2.77,80.14,-36.62,,,,,
Sweden,40.56,6.35,6.39,9.29,46.27,34.92,11.86,26.78,63.96,40.27
Switzerland,6.5,0.91,7.12,1.49,63.14,24.16,2.94,16.67,50.89,29.09
Taiwan,75,29.5,2.54,17.17,-41.79,-21.85,-35.21,-26.56,-5.02,-18.75
Thailand,87,29.76,2.92,19.92,-33.05,9.37,-9.32,2.77,32.92,13.71
Turkey,8.45,1.77,4.78,1.93,9.39,66.5,38.04,56.45,102.34,73.1
UAE,12,3.67,3.27,2.75,-25.19,,,,,
Ukraine,19,8.14,2.33,4.35,-46.58,,,,,
United States,4.37,1,4.37,1,0,0,-17.09,-6.03,21.53,3.97
Uruguay,105,19.28,5.45,24.04,24.7,,,,,
Venezuela,39,4.29,9.08,8.93,107.93,,,,,
Austria,3.39,0.74,4.6,0.78,5.33,4.05,-13.74,-2.23,26.45,8.18
Belgium,3.8,0.74,5.16,0.87,18.07,19.51,-0.92,12.3,45.24,24.25
Estonia,2.7,0.74,3.66,0.62,-16.11,17.65,-2.46,10.55,42.97,22.31
Finland,3.75,0.74,5.09,0.86,16.51,16.04,-3.8,9.04,41.01,20.64
France,3.6,0.74,4.89,0.82,11.85,16.4,-3.5,9.37,41.45,21.01
Germany,3.64,0.74,4.94,0.83,13.09,17.57,-2.52,10.48,42.88,22.24
Greece,3.3,0.74,4.48,0.76,2.53,27.38,5.61,19.7,54.8,32.43
Ireland,3.49,0.74,4.74,0.8,8.43,8.47,-10.07,1.93,31.82,12.77
Italy,3.85,0.74,5.22,0.88,19.62,34.25,11.3,26.15,63.15,39.57
Netherlands,3.45,0.74,4.68,0.79,7.19,5.39,-12.62,-0.97,28.08,9.57
Portugal,2.95,0.74,4,0.68,-8.34,19.75,-0.72,12.53,45.53,24.5
Spain,3.5,0.74,4.75,0.8,8.75,27.46,5.67,19.77,54.9,32.51
